# comment line with date in standard format goes here
geo lon (deg),geo lat (deg),mag lat (deg)
-180.000000,-90.000000,-85.500000
-175.000000,-90.000000,-85.500000
-170.000000,-90.000000,-85.500000
-165.000000,-90.000000,-85.500000
-160.000000,-90.000000,-85.500000
-155.000000,-90.000000,-85.500000
-150.000000,-90.000000,-85.500000
-145.000000,-90.000000,-85.500000
-140.000000,-90.000000,-85.500000
-135.000000,-90.000000,-85.500000
-130.000000,-90.000000,-85.500000
-125.000000,-90.000000,-85.500000
-120.000000,-90.000000,-85.500000
-115.000000,-90.000000,-85.500000
-110.000000,-90.000000,-85.500000
-105.000000,-90.000000,-85.500000
-100.000000,-90.000000,-85.500000
-95.000000,-90.000000,-85.500000
-90.000000,-90.000000,-85.500000
-85.000000,-90.000000,-85.500000
-80.000000,-90.000000,-85.500000
-75.000000,-90.000000,-85.500000
-70.000000,-90.000000,-85.500000
-65.000000,-90.000000,-85.500000
-60.000000,-90.000000,-85.500000
-55.000000,-90.000000,-85.500000
-50.000000,-90.000000,-85.500000
-45.000000,-90.000000,-85.500000
-40.000000,-90.000000,-85.500000
-35.000000,-90.000000,-85.500000
-30.000000,-90.000000,-85.500000
-25.000000,-90.000000,-85.500000
-20.000000,-90.000000,-85.500000
-15.000000,-90.000000,-85.500000
-10.000000,-90.000000,-85.500000
-5.000000,-90.000000,-85.500000
0.000000,-90.000000,-85.500000
5.000000,-90.000000,-85.500000
10.000000,-90.000000,-85.500000
15.000000,-90.000000,-85.500000
20.000000,-90.000000,-85.500000
25.000000,-90.000000,-85.500000
30.000000,-90.000000,-85.500000
35.000000,-90.000000,-85.500000
40.000000,-90.000000,-85.500000
45.000000,-90.000000,-85.500000
50.000000,-90.000000,-85.500000
55.000000,-90.000000,-85.500000
60.000000,-90.000000,-85.500000
65.000000,-90.000000,-85.500000
70.000000,-90.000000,-85.500000
75.000000,-90.000000,-85.500000
80.000000,-90.000000,-85.500000
85.000000,-90.000000,-85.500000
90.000000,-90.000000,-85.500000
95.000000,-90.000000,-85.500000
100.000000,-90.000000,-85.500000
105.000000,-90.000000,-85.500000
110.000000,-90.000000,-85.500000
115.000000,-90.000000,-85.500000
120.000000,-90.000000,-85.500000
125.000000,-90.000000,-85.500000
130.000000,-90.000000,-85.500000
135.000000,-90.000000,-85.500000
140.000000,-90.000000,-85.500000
145.000000,-90.000000,-85.500000
150.000000,-90.000000,-85.500000
155.000000,-90.000000,-85.500000
160.000000,-90.000000,-85.500000
165.000000,-90.000000,-85.500000
170.000000,-90.000000,-85.500000
175.000000,-90.000000,-85.500000
-180.000000,-85.000000,-80.750000
-175.000000,-85.000000,-80.750000
-170.000000,-85.000000,-80.750000
-165.000000,-85.000000,-80.750000
-160.000000,-85.000000,-80.750000
-155.000000,-85.000000,-80.750000
-150.000000,-85.000000,-80.750000
-145.000000,-85.000000,-80.750000
-140.000000,-85.000000,-80.750000
-135.000000,-85.000000,-80.750000
-130.000000,-85.000000,-80.750000
-125.000000,-85.000000,-80.750000
-120.000000,-85.000000,-80.750000
-115.000000,-85.000000,-80.750000
-110.000000,-85.000000,-80.750000
-105.000000,-85.000000,-80.750000
-100.000000,-85.000000,-80.750000
-95.000000,-85.000000,-80.750000
-90.000000,-85.000000,-80.750000
-85.000000,-85.000000,-80.750000
-80.000000,-85.000000,-80.750000
-75.000000,-85.000000,-80.750000
-70.000000,-85.000000,-80.750000
-65.000000,-85.000000,-80.750000
-60.000000,-85.000000,-80.750000
-55.000000,-85.000000,-80.750000
-50.000000,-85.000000,-80.750000
-45.000000,-85.000000,-80.750000
-40.000000,-85.000000,-80.750000
-35.000000,-85.000000,-80.750000
-30.000000,-85.000000,-80.750000
-25.000000,-85.000000,-80.750000
-20.000000,-85.000000,-80.750000
-15.000000,-85.000000,-80.750000
-10.000000,-85.000000,-80.750000
-5.000000,-85.000000,-80.750000
0.000000,-85.000000,-80.750000
5.000000,-85.000000,-80.750000
10.000000,-85.000000,-80.750000
15.000000,-85.000000,-80.750000
20.000000,-85.000000,-80.750000
25.000000,-85.000000,-80.750000
30.000000,-85.000000,-80.750000
35.000000,-85.000000,-80.750000
40.000000,-85.000000,-80.750000
45.000000,-85.000000,-80.750000
50.000000,-85.000000,-80.750000
55.000000,-85.000000,-80.750000
60.000000,-85.000000,-80.750000
65.000000,-85.000000,-80.750000
70.000000,-85.000000,-80.750000
75.000000,-85.000000,-80.750000
80.000000,-85.000000,-80.750000
85.000000,-85.000000,-80.750000
90.000000,-85.000000,-80.750000
95.000000,-85.000000,-80.750000
100.000000,-85.000000,-80.750000
105.000000,-85.000000,-80.750000
110.000000,-85.000000,-80.750000
115.000000,-85.000000,-80.750000
120.000000,-85.000000,-80.750000
125.000000,-85.000000,-80.750000
130.000000,-85.000000,-80.750000
135.000000,-85.000000,-80.750000
140.000000,-85.000000,-80.750000
145.000000,-85.000000,-80.750000
150.000000,-85.000000,-80.750000
155.000000,-85.000000,-80.750000
160.000000,-85.000000,-80.750000
165.000000,-85.000000,-80.750000
170.000000,-85.000000,-80.750000
175.000000,-85.000000,-80.750000
-180.000000,-80.000000,-76.000000
-175.000000,-80.000000,-76.000000
-170.000000,-80.000000,-76.000000
-165.000000,-80.000000,-76.000000
-160.000000,-80.000000,-76.000000
-155.000000,-80.000000,-76.000000
-150.000000,-80.000000,-76.000000
-145.000000,-80.000000,-76.000000
-140.000000,-80.000000,-76.000000
-135.000000,-80.000000,-76.000000
-130.000000,-80.000000,-76.000000
-125.000000,-80.000000,-76.000000
-120.000000,-80.000000,-76.000000
-115.000000,-80.000000,-76.000000
-110.000000,-80.000000,-76.000000
-105.000000,-80.000000,-76.000000
-100.000000,-80.000000,-76.000000
-95.000000,-80.000000,-76.000000
-90.000000,-80.000000,-76.000000
-85.000000,-80.000000,-76.000000
-80.000000,-80.000000,-76.000000
-75.000000,-80.000000,-76.000000
-70.000000,-80.000000,-76.000000
-65.000000,-80.000000,-76.000000
-60.000000,-80.000000,-76.000000
-55.000000,-80.000000,-76.000000
-50.000000,-80.000000,-76.000000
-45.000000,-80.000000,-76.000000
-40.000000,-80.000000,-76.000000
-35.000000,-80.000000,-76.000000
-30.000000,-80.000000,-76.000000
-25.000000,-80.000000,-76.000000
-20.000000,-80.000000,-76.000000
-15.000000,-80.000000,-76.000000
-10.000000,-80.000000,-76.000000
-5.000000,-80.000000,-76.000000
0.000000,-80.000000,-76.000000
5.000000,-80.000000,-76.000000
10.000000,-80.000000,-76.000000
15.000000,-80.000000,-76.000000
20.000000,-80.000000,-76.000000
25.000000,-80.000000,-76.000000
30.000000,-80.000000,-76.000000
35.000000,-80.000000,-76.000000
40.000000,-80.000000,-76.000000
45.000000,-80.000000,-76.000000
50.000000,-80.000000,-76.000000
55.000000,-80.000000,-76.000000
60.000000,-80.000000,-76.000000
65.000000,-80.000000,-76.000000
70.000000,-80.000000,-76.000000
75.000000,-80.000000,-76.000000
80.000000,-80.000000,-76.000000
85.000000,-80.000000,-76.000000
90.000000,-80.000000,-76.000000
95.000000,-80.000000,-76.000000
